dist I am noby = 0.000000, tpl = 325.296783, td = 154.019485
dist .research' = 26.305893, tpl = 263.321106, td = 55.758408
dist .research' = 26.305893, tpl = 380.348511, td = 43.566040
dist HARIBO = 15.620500, tpl = 124.482933, td = 18.027756
dist I am noby = 0.000000, tpl = 632.266541, td = 145.907501
dist Koyot = 0.000000, tpl = 399.362000, td = 711.213745
dist :Ram = 28.635643, tpl = 399.552246, td = 390.919434
dist I am noby = 3.162278, tpl = 609.944275, td = 87.464279
dist jo_ = 0.000000, tpl = 399.839966, td = 424.984711
dist :Ram = 28.635643, tpl = 399.530975, td = 656.189758
dist .research' = 0.000000, tpl = 306.571350, td = 219.920441
dist An0dreX = 33.955853, tpl = 632.891785, td = 442.498596
dist An0dreX = 33.955853, tpl = 630.529907, td = 0.000000
dist Cul-de-jatte = 35.805027, tpl = 279.028687, td = 24.020824
dist Sasuke = 0.000000, tpl = 399.505951, td = 263.548859
dist noby = 10.000000, tpl = 338.212952, td = 3.000000
dist :Ram = 28.600698, tpl = 399.772430, td = 633.220337
dist jo_ = 30.413813, tpl = 399.155365, td = 380.194702
dist Flam = 35.128338, tpl = 399.906250, td = 572.171326
dist An0dreX = 0.000000, tpl = 153.456833, td = 0.000000
dist An0dreX = 0.000000, tpl = 410.078033, td = 75.894661
dist .LeitWolf' = 0.000000, tpl = 318.397552, td = 80.919716
dist :Ram = 25.079872, tpl = 399.020050, td = 629.603821
dist An0dreX = 9.000000, tpl = 565.872803, td = 121.061966
dist Redx73 = 0.000000, tpl = 49.678970, td = 49.678970
dist noby = 12.165525, tpl = 446.995514, td = 36.124783
dist An0dreX = 27.586229, tpl = 127.003937, td = 40.000000
dist .research' = 34.014702, tpl = 333.282166, td = 35.510563
dist An0dreX = 27.586229, tpl = 387.087860, td = 62.481998
dist HARIBO = 0.000000, tpl = 499.795959, td = 2.236068
dist Cul-de-jatte = 20.615528, tpl = 279.179169, td = 41.194660
dist jo_ = 37.013512, tpl = 399.722412, td = 226.735535
dist Redx73 = 22.825424, tpl = 48.826221, td = 48.826221
dist Redx73 = 22.825424, tpl = 49.040798, td = 49.040798
dist HARIBO = 33.120991, tpl = 79.309517, td = 159.154007
dist Flam = 0.000000, tpl = 399.164124, td = 495.795319
dist Cul-de-jatte = 22.561028, tpl = 279.644409, td = 168.715744
